display_name,handle,text,ts_ec,permalink,replies,retweets,likes
Del Encebollado,@Gap1935,"Siguen los narcogenerales en las FFAA del Ecuador . Qué puede salir mal? Si nos gobierna un narco #NosGobiernanDelincuentes #NosGobiernaUnNarcotraficante El gobierno informó de un operativo exitoso en Ecuador y España en contra de una organización criminal que enviaba droga en pitahaya a Europa. Sin embargo, de los 17 aprehendidos, 3 son policías activos. ¿A esa institución infectada por la delincuencia, quieren darle una ley que",2025-05-31 08:12:11-05:00,https://x.com/Gap1935/status/1928801685054345407,0,0,0
FRANCISCO F VASCONEZ,@Bull13redF,Las FFAA del ECUADOR deben estar en las fronteras educando a los habitantes enseniandoles los valores civicos y el respeto por LA BANDERA EL ESCUDO EL HIMNO NACIONAL...,2025-05-30 21:07:57-05:00,https://x.com/Bull13redF/status/1928634523144568874,0,0,0
Tomas Luna,@TomasLunaC,"Y AQUI EN ECUADOR LOS CORREISTAS APLAUDEN A LOS SECUESTRADORES..LA NEGRA CABEZAS HASTA LLORA POR ELLOS ..VIVA LAS FFAA Y POLIVIAS..ESTE ES EL PROCEDIMIENTO ..LIMPIAR DE ESTAS LACRAS EL PAIS. Brasil: Tomó de rehén a una abuela, hasta que ella cayó, y problema resuelto. Excelente trabajo del policía.",2025-05-30 16:59:48-05:00,https://x.com/TomasLunaC/status/1928572076811518238,0,0,0
M. Piero AU,@M_Piero_Aguirre,"Jajajajaja... Primero. Por si no sabía, en el Ecuador es común ver a las FFAA patrullar las calles. Segundo. Si no lo sabía. También en el Paraíso Socialista de Lula, el Brasil. La Policía Militar se encarga de patrullar las calles y de brindar seguridad a la población.",2025-05-30 11:11:52-05:00,https://x.com/M_Piero_Aguirre/status/1928484513442578755,0,0,0
El Dato Ec,@ElDatoEcua,#Urgente ¡MATERIAL EXPLOSIVO DECOMISADO POR LA POLICÍA NACIONAL! @ElDatoEcua #ElDato #Política #Ecuador #Gobierno #Quito #PoliciaNacional #Seguridad #FFAA,2025-05-29 21:52:28-05:00,https://x.com/ElDatoEcua/status/1928283339544223907,0,0,0
El Dato Ec,@ElDatoEcua,"#Urgente ¡DURO GOLPE CONTRA LA DELINCUENCIA, OPERATIVO APOLO 18! @ElDatoEcua #ElDato #Política #Ecuador #Gobierno #Quito #PoliciaNacional #Seguridad #FFAA",2025-05-29 18:14:01-05:00,https://x.com/ElDatoEcua/status/1928228363669233941,0,0,0
Carolina Suárez,@Carolinasf0885,"Hay que Diferenciar entre: Quienes apoyamos al Gobierno, FFAA y Policía N. en combatir la minería ilegal con aportes técnicos y quienes comentan para volver “político” el proyecto de ley contra la “economía criminal” @radio_pichincha …",2025-05-29 14:15:10-05:00,https://x.com/Carolinasf0885/status/1928168254557589534,0,0,0
Mariana Rendon,@mariana42987567,"Dile a tu presidente ilegitimo que se ponga a combatir junto a las FFAA la violencia en q se encuentra envuelto el Ecuador ya son casi dos años y no ha hecho ni m.....por la gente x el país, q se deje de estar viajando y no te dejes manipular con las mentiras del gob",2025-05-29 08:48:00-05:00,https://x.com/mariana42987567/status/1928085919652856237,0,0,0
Antoine,@IMarkcastillo5,"Se filtran imágenes, claramente es AI porque cómo así que sobrio?. Solo en Ecuador dejan entrar al jefe de los comandos de frontera que nos mataron a 11 soldados de las FFAA . Lástima por Colombia",2025-05-28 14:50:08-05:00,https://x.com/IMarkcastillo5/status/1927814668438974926,0,0,0
Sol Palacios,@SolPala85687165,"Pobre ignorante Cabello no sabe que ya se mostraron las actas y que en Ecuador desde muchos, pero muchos años atrás las FFAA del Ecuador son vigilantes de las elecciones. Mejor que muestren las actas del 28J, bien cara dura los rojos Venezolanos",2025-05-27 19:03:20-05:00,https://x.com/SolPala85687165/status/1927515999147856164,0,0,0
marcos,@ecuador_atento1,"DESPUÉS DICEN Q EL GOBIERNO,LA POLICÍA Y FFAA NO SIRVEN PERO LA VERDAD ES Q LOS JUECES Y CONSTITUCIÓN CORREISTA ES LA Q SUELTA A LOS NARCO CRIMINALES Y CORRUPTOS DE CUELLO BLANCO, MIENTRAS EXITA ESA MI3RDA DE CONSTITUCIÓN Y SUS LEYES ECUADOR VIVIRÁ OSCURIDAD COMO ES EL CORREISMO",2025-05-27 18:10:10-05:00,https://x.com/ecuador_atento1/status/1927502620656091316,0,0,0
Diego Colchotermo,@ElDiegoATM,"Oye down, no ves que en Ecuador antes del vende humo de Roldós estaba ""dictador"" Bombita Lara quien ya dió el poder. Prácticamente las ffaa les valía tres hectáreas el poder. Se murió pq el piloto fue boludazo y ya está, ni que el tipo era un Allende",2025-05-27 12:04:59-05:00,https://x.com/ElDiegoATM/status/1927410716388086057,0,0,0
Амелија Монтенегро,@amemontenegro7,"Yo vi caer presidentes cuando la FFAA y la policía les dieron la espalda, ellos al final son pueblo, ojo hablo de los mandos medios y la tropa! Esa fue mi niñez y pese a ser una niña vi a mis padres luchar por un Ecuador mejor!",2025-05-26 21:05:45-05:00,https://x.com/amemontenegro7/status/1927184420437422194,0,0,0
